"TIME","GEO","UNIT","ICD10","AGE","RESID","SEX","Value","Flag and Footnotes"
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Males","40,865",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Females","49,160",""
"2011","European Union - 28 countries (2013-2020)","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Total","283",""
"2011","European Union - 28 countries (2013-2020)","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Males",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Females","283",""
"2011","European Union - 28 countries (2013-2020)","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Total","10,630",""
"2011","European Union - 28 countries (2013-2020)","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Males","6,084",""
"2011","European Union - 28 countries (2013-2020)","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Females","4,539",""
"2011","European Union - 28 countries (2013-2020)","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Total","12,065",""
"2011","European Union - 28 countries (2013-2020)","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Males","6,416",""
"2011","European Union - 28 countries (2013-2020)","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Females","5,645",""
"2011","European Union - 28 countries (2013-2020)","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Total","170,347",""
"2011","European Union - 28 countries (2013-2020)","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Males","79,448",""
"2011","European Union - 28 countries (2013-2020)","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Females","90,887",""
"2011","Belgium","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Total","2,428",""
"2011","Belgium","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Males","1,104",""
"2011","Belgium","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Females","1,324",""
"2011","Belgium","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Total","27,639",""
"2011","Belgium","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Males","15,381",""
"2011","Belgium","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Females","12,258",""
"2011","Belgium","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Total","953",""
"2011","Belgium","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Males","464",""
"2011","Belgium","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Females","489",""
"2011","Belgium","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Total","2,693",""
"2011","Belgium","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Males","1,128",""
"2011","Belgium","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Females","1,565",""
"2011","Belgium","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Total","3,903",""
"2011","Belgium","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Males","1,477",""
"2011","Belgium","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Females","2,426",""
"2011","Belgium","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Total","4,757",""
"2011","Belgium","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Males","1,971",""
"2011","Belgium","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Females","2,786",""
"2011","Belgium","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Total","31,382",""
"2011","Belgium","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Males","14,228",""
"2011","Belgium","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Females","17,154",""
"2011","Belgium","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Total","10,580",""
"2011","Belgium","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Males","5,782",""
"2011","Belgium","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Females","4,798",""
"2011","Belgium","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Total","4,680",""
"2011","Belgium","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Males","2,287",""
"2011","Belgium","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Females","2,393",""
"2011","Belgium","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Total","267",""
"2011","Belgium","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Males","71",""
"2011","Belgium","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Females","196",""
"2011","Belgium","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Total","489",""
"2011","Belgium","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Males","171",""
"2011","Belgium","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Females","318",""
"2011","Belgium","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Total","2,561",""
"2011","Belgium","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Males","1,066",""
"2011","Belgium","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Females","1,495",""
"2011","Belgium","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Total","10",""
"2011","Belgium","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Males",":",""
"2011","Belgium","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Females","10",""
"2011","Belgium","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Total","225",""
"2011","Belgium","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Males","124",""
"2011","Belgium","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Females","101",""
"2011","Belgium","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Total","249",""
"2011","Belgium","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Males","131",""
"2011","Belgium","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Females","118",""
"2011","Belgium","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Total","4,228",""
"2011","Belgium","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Males","1,677",""
"2011","Belgium","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Females","2,551",""
"2011","Bulgaria","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Total","523",""
"2011","Bulgaria","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Males","334",""
"2011","Bulgaria","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Females","189",""
"2011","Bulgaria","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Total","16,822",""
"2011","Bulgaria","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Males","9,807",""
"2011","Bulgaria","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Females","7,015",""
"2011","Bulgaria","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Total","111",""
"2011","Bulgaria","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Males","63",""
"2011","Bulgaria","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Females","48",""
"2011","Bulgaria","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Total","1,640",""
"2011","Bulgaria","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Males","720",""
"2011","Bulgaria","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Females","920",""
"2011","Bulgaria","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Total","78",""
"2011","Bulgaria","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Males","41",""
"2011","Bulgaria","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Females","37",""
"2011","Bulgaria","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Total","1,006",""
"2011","Bulgaria","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Males","547",""
"2011","Bulgaria","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Females","459",""
"2011","Bulgaria","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Total","72,532",""
"2011","Bulgaria","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Males","35,453",""
"2011","Bulgaria","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Females","37,079",""
"2011","Bulgaria","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Total","4,004",""
"2011","Bulgaria","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Males","2,483",""
"2011","Bulgaria","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Females","1,521",""
"2011","Bulgaria","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Total","3,266",""
"2011","Bulgaria","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Males","2,205",""
"2011","Bulgaria","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Females","1,061",""
"2011","Bulgaria","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Total","22",""
"2011","Bulgaria","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Males","10",""
"2011","Bulgaria","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Females","12",""
"2011","Bulgaria","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Total","58",""
"2011","Bulgaria","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Males","25",""
"2011","Bulgaria","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Females","33",""
"2011","Bulgaria","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Total","1,164",""
"2011","Bulgaria","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Males","682",""
"2011","Bulgaria","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Females","482",""
"2011","Bulgaria","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Total","2",""
"2011","Bulgaria","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Males",":",""
"2011","Bulgaria","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Females","2",""
"2011","Bulgaria","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Total","290",""
"2011","Bulgaria","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Males","178",""
"2011","Bulgaria","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Females","112",""
"2011","Bulgaria","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Total","142",""
"2011","Bulgaria","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Males","77",""
"2011","Bulgaria","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Females","65",""
"2011","Bulgaria","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Total","2,996",""
"2011","Bulgaria","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Males","1,400",""
"2011","Bulgaria","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Females","1,596",""
"2011","Czechia","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Total","1,365",""
"2011","Czechia","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Males","647",""
"2011","Czechia","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Females","718",""
"2011","Czechia","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Total","27,244",""
"2011","Czechia","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Males","15,051",""
"2011","Czechia","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Females","12,193",""
"2011","Czechia","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Total","371",""
"2011","Czechia","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Males","172",""
"2011","Czechia","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Females","199",""
"2011","Czechia","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Total","2,801",""
"2011","Czechia","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Males","1,204",""
"2011","Czechia","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Females","1,597",""
"2011","Czechia","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Total","939",""
"2011","Czechia","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Males","413",""
"2011","Czechia","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Females","526",""
"2011","Czechia","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Total","2,145",""
"2011","Czechia","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Males","996",""
"2011","Czechia","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Females","1,149",""
"2011","Czechia","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Total","52,963",""
"2011","Czechia","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Males","24,303",""
"2011","Czechia","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Females","28,660",""
"2011","Czechia","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Total","5,726",""
"2011","Czechia","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Males","3,282",""
"2011","Czechia","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Females","2,444",""
"2011","Czechia","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Total","4,562",""
"2011","Czechia","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Males","2,583",""
"2011","Czechia","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Females","1,979",""
"2011","Czechia","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Total","171",""
"2011","Czechia","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Males","55",""
"2011","Czechia","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Females","116",""
"2011","Czechia","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Total","146",""
"2011","Czechia","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Males","64",""
"2011","Czechia","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Females","82",""
"2011","Czechia","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Total","1,218",""
"2011","Czechia","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Males","557",""
"2011","Czechia","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Females","661",""
"2011","Czechia","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Total","2",""
"2011","Czechia","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Males",":",""
"2011","Czechia","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Females","2",""
"2011","Czechia","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Total","178",""
"2011","Czechia","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Males","106",""
"2011","Czechia","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Females","72",""
"2011","Czechia","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Total","158",""
"2011","Czechia","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Males","86",""
"2011","Czechia","Number","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Total","All deaths reported in the country","Females","72",""
"2011","Czechia","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Total","868",""
"2011","Czechia","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Males","528",""
"2011","Czechia","Number","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Total","All deaths reported in the country","Females","340",""
"2011","Denmark","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Total","809",""
"2011","Denmark","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Males","385",""
"2011","Denmark","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Females","424",""
"2011","Denmark","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Total","15,481",""
"2011","Denmark","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Males","8,118",""
"2011","Denmark","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Females","7,363",""
"2011","Denmark","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Total","272",""
"2011","Denmark","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Males","136",""
"2011","Denmark","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Females","136",""
"2011","Denmark","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Total","1,692",""
"2011","Denmark","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Males","900",""
"2011","Denmark","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Females","792",""
"2011","Denmark","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Total","3,052",""
"2011","Denmark","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Males","1,324",""
"2011","Denmark","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Females","1,728",""
"2011","Denmark","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Total","1,868",""
"2011","Denmark","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Males","807",""
"2011","Denmark","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Females","1,061",""
"2011","Denmark","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Total","13,459",""
"2011","Denmark","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Males","6,540",""
"2011","Denmark","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Females","6,919",""
"2011","Denmark","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Total","5,839",""
"2011","Denmark","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Males","2,727",""
"2011","Denmark","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Females","3,112",""
"2011","Denmark","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Total","2,470",""
"2011","Denmark","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Males","1,275",""
"2011","Denmark","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Females","1,195",""
"2011","Denmark","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Total","64",""
"2011","Denmark","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Males","22",""
"2011","Denmark","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Females","42",""
"2011","Denmark","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Total","331",""
"2011","Denmark","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Males","119",""
"2011","Denmark","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Females","212",""
"2011","Denmark","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Total","795",""
"2011","Denmark","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Males","390",""
"2011","Denmark","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Females","405",""
"2011","Denmark","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Total","3",""
"2011","Denmark","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Males",":",""
"2011","Denmark","Number","Pregnancy, childbirth and the puerperium (O00-O99)","Total","All deaths reported in the country","Females","3",""
"2011","Denmark","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Total","123",""
"2011","Denmark","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Males","65",""
"2011","Denmark","Number","Certain conditions originating in the perinatal period (P00-P96)","Total","All deaths reported in the country","Females","58",""
