"TIME","GEO","UNIT","ICHA11_HP","Value","Flag and Footnotes"
"2011","Portugal","Million euro","All providers of health care","17,135.42",""
"2011","Portugal","Million euro","General hospitals","6,535.51",""
"2011","Portugal","Million euro","Mental health hospitals","143.74",""
"2011","Portugal","Million euro","Dental practice",":",""
"2011","Portugal","Million euro","Pharmacies","3,137.60",""
"2011","Romania","Million euro","All providers of health care","6,199.11",""
"2011","Romania","Million euro","General hospitals","1,841.35",""
"2011","Romania","Million euro","Mental health hospitals","67.96",""
"2011","Romania","Million euro","Dental practice","146.43",""
"2011","Romania","Million euro","Pharmacies","2,342.13",""
"2011","Slovenia","Million euro","All providers of health care",":",""
"2011","Slovenia","Million euro","General hospitals",":",""
"2011","Slovenia","Million euro","Mental health hospitals",":",""
"2011","Slovenia","Million euro","Dental practice",":",""
"2011","Slovenia","Million euro","Pharmacies",":",""
"2011","Slovakia","Million euro","All providers of health care",":",""
"2011","Slovakia","Million euro","General hospitals",":",""
"2011","Slovakia","Million euro","Mental health hospitals",":",""
"2011","Slovakia","Million euro","Dental practice",":",""
"2011","Slovakia","Million euro","Pharmacies",":",""
"2011","Finland","Million euro","All providers of health care","18,261.42",""
"2011","Finland","Million euro","General hospitals","6,253.16",""
"2011","Finland","Million euro","Mental health hospitals","5.46",""
"2011","Finland","Million euro","Dental practice","513.65",""
"2011","Finland","Million euro","Pharmacies","2,276.00",""
"2011","Sweden","Million euro","All providers of health care","43,003.83",""
"2011","Sweden","Million euro","General hospitals","16,559.95",""
"2011","Sweden","Million euro","Mental health hospitals",":",""
"2011","Sweden","Million euro","Dental practice","2,598.40",""
"2011","Sweden","Million euro","Pharmacies","4,062.77",""
"2011","Iceland","Million euro","All providers of health care","896.93",""
"2011","Iceland","Million euro","General hospitals","332.02",""
"2011","Iceland","Million euro","Mental health hospitals",":",""
"2011","Iceland","Million euro","Dental practice","56.55",""
"2011","Iceland","Million euro","Pharmacies","113.17",""
"2011","Liechtenstein","Million euro","All providers of health care",":",""
"2011","Liechtenstein","Million euro","General hospitals",":",""
"2011","Liechtenstein","Million euro","Mental health hospitals",":",""
"2011","Liechtenstein","Million euro","Dental practice",":",""
"2011","Liechtenstein","Million euro","Pharmacies",":",""
"2011","Norway","Million euro","All providers of health care","31,493.31",""
"2011","Norway","Million euro","General hospitals","9,497.78",""
"2011","Norway","Million euro","Mental health hospitals","2,825.60",""
"2011","Norway","Million euro","Dental practice","1,634.59",""
"2011","Norway","Million euro","Pharmacies","2,223.29",""
"2011","Switzerland","Million euro","All providers of health care","52,119.65",""
"2011","Switzerland","Million euro","General hospitals","15,214.52",""
"2011","Switzerland","Million euro","Mental health hospitals","1,491.40",""
"2011","Switzerland","Million euro","Dental practice","3,159.64",""
"2011","Switzerland","Million euro","Pharmacies","3,800.16",""
"2011","United Kingdom","Million euro","All providers of health care",":",""
"2011","United Kingdom","Million euro","General hospitals",":",""
"2011","United Kingdom","Million euro","Mental health hospitals",":",""
"2011","United Kingdom","Million euro","Dental practice",":",""
"2011","United Kingdom","Million euro","Pharmacies",":",""
"2011","Bosnia and Herzegovina","Million euro","All providers of health care",":",""
"2011","Bosnia and Herzegovina","Million euro","General hospitals",":",""
"2011","Bosnia and Herzegovina","Million euro","Mental health hospitals",":",""
"2011","Bosnia and Herzegovina","Million euro","Dental practice",":",""
"2011","Bosnia and Herzegovina","Million euro","Pharmacies",":",""
"2012","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2012","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2012","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2012","European Union - 28 countries (2013-2020)","Million euro","Dental practice",":",""
"2012","European Union - 28 countries (2013-2020)","Million euro","Pharmacies",":",""
"2012","Belgium","Million euro","All providers of health care","40,573.47",""
"2012","Belgium","Million euro","General hospitals","13,077.71",""
"2012","Belgium","Million euro","Mental health hospitals","1,709.92",""
"2012","Belgium","Million euro","Dental practice","1,449.63",""
"2012","Belgium","Million euro","Pharmacies","4,861.85",""
"2012","Bulgaria","Million euro","All providers of health care","3,185.79",""
"2012","Bulgaria","Million euro","General hospitals","851.10",""
"2012","Bulgaria","Million euro","Mental health hospitals","14.49",""
"2012","Bulgaria","Million euro","Dental practice","118.70",""
"2012","Bulgaria","Million euro","Pharmacies","1,192.30",""
"2012","Czechia","Million euro","All providers of health care",":",""
"2012","Czechia","Million euro","General hospitals",":",""
"2012","Czechia","Million euro","Mental health hospitals",":",""
"2012","Czechia","Million euro","Dental practice",":",""
"2012","Czechia","Million euro","Pharmacies",":",""
"2012","Denmark","Million euro","All providers of health care","26,072.23",""
"2012","Denmark","Million euro","General hospitals","10,448.19",""
"2012","Denmark","Million euro","Mental health hospitals","1,039.49",""
"2012","Denmark","Million euro","Dental practice","1,526.44",""
"2012","Denmark","Million euro","Pharmacies","1,608.74",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care","297,955.00",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","General hospitals","78,244.00",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",":",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","Dental practice","23,576.00",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","Pharmacies","40,523.00",""
"2012","Estonia","Million euro","All providers of health care","1,045.15",""
"2012","Estonia","Million euro","General hospitals","461.49",""
"2012","Estonia","Million euro","Mental health hospitals","2.80",""
"2012","Estonia","Million euro","Dental practice","70.24",""
"2012","Estonia","Million euro","Pharmacies","211.40",""
"2012","Ireland","Million euro","All providers of health care","18,653.23",""
"2012","Ireland","Million euro","General hospitals","5,556.79",""
"2012","Ireland","Million euro","Mental health hospitals","260.25",""
"2012","Ireland","Million euro","Dental practice","513.34",""
"2012","Ireland","Million euro","Pharmacies","2,623.14",""
"2012","Greece","Million euro","All providers of health care","16,811.38",""
"2012","Greece","Million euro","General hospitals","6,569.63",""
"2012","Greece","Million euro","Mental health hospitals","332.36",""
"2012","Greece","Million euro","Dental practice","995.08",""
"2012","Greece","Million euro","Pharmacies","4,874.54",""
"2012","Spain","Million euro","All providers of health care","94,409.12",""
"2012","Spain","Million euro","General hospitals","37,078.62",""
"2012","Spain","Million euro","Mental health hospitals","751.72",""
"2012","Spain","Million euro","Dental practice","4,689.19",""
"2012","Spain","Million euro","Pharmacies","14,920.61",""
"2012","France","Million euro","All providers of health care","235,980.55",""
"2012","France","Million euro","General hospitals","79,539.75",""
"2012","France","Million euro","Mental health hospitals","9,648.59",""
"2012","France","Million euro","Dental practice","9,746.22",""
"2012","France","Million euro","Pharmacies","38,092.05",""
"2012","Croatia","Million euro","All providers of health care",":",""
"2012","Croatia","Million euro","General hospitals",":",""
"2012","Croatia","Million euro","Mental health hospitals",":",""
"2012","Croatia","Million euro","Dental practice",":",""
"2012","Croatia","Million euro","Pharmacies",":",""
"2012","Italy","Million euro","All providers of health care","142,676.00",""
"2012","Italy","Million euro","General hospitals",":",""
"2012","Italy","Million euro","Mental health hospitals",":",""
"2012","Italy","Million euro","Dental practice",":",""
"2012","Italy","Million euro","Pharmacies",":",""
"2012","Cyprus","Million euro","All providers of health care","1,274.30",""
"2012","Cyprus","Million euro","General hospitals","477.12",""
"2012","Cyprus","Million euro","Mental health hospitals","14.64",""
"2012","Cyprus","Million euro","Dental practice","69.51",""
"2012","Cyprus","Million euro","Pharmacies","160.74",""
"2012","Latvia","Million euro","All providers of health care",":",""
"2012","Latvia","Million euro","General hospitals",":",""
"2012","Latvia","Million euro","Mental health hospitals",":",""
"2012","Latvia","Million euro","Dental practice",":",""
"2012","Latvia","Million euro","Pharmacies",":",""
"2012","Lithuania","Million euro","All providers of health care","2,096.85",""
"2012","Lithuania","Million euro","General hospitals","636.29",""
"2012","Lithuania","Million euro","Mental health hospitals","15.89",""
"2012","Lithuania","Million euro","Dental practice","73.32",""
"2012","Lithuania","Million euro","Pharmacies","605.74",""
"2012","Luxembourg","Million euro","All providers of health care","2,463.12","b"
"2012","Luxembourg","Million euro","General hospitals","668.87","b"
"2012","Luxembourg","Million euro","Mental health hospitals","38.36","b"
"2012","Luxembourg","Million euro","Dental practice","151.19","b"
"2012","Luxembourg","Million euro","Pharmacies","285.11","b"
"2012","Hungary","Million euro","All providers of health care","7,428.99",""
"2012","Hungary","Million euro","General hospitals","2,294.23",""
"2012","Hungary","Million euro","Mental health hospitals","37.89",""
"2012","Hungary","Million euro","Dental practice","261.67",""
"2012","Hungary","Million euro","Pharmacies","2,420.28",""
"2012","Malta","Million euro","All providers of health care",":",""
"2012","Malta","Million euro","General hospitals",":",""
"2012","Malta","Million euro","Mental health hospitals",":",""
"2012","Malta","Million euro","Dental practice",":",""
"2012","Malta","Million euro","Pharmacies",":",""
"2012","Netherlands","Million euro","All providers of health care","68,816.48",""
"2012","Netherlands","Million euro","General hospitals","16,850.57",""
"2012","Netherlands","Million euro","Mental health hospitals","4,102.67",""
"2012","Netherlands","Million euro","Dental practice","3,116.50",""
"2012","Netherlands","Million euro","Pharmacies","5,256.70",""
"2012","Austria","Million euro","All providers of health care","32,499.92",""
"2012","Austria","Million euro","General hospitals","11,337.12",""
"2012","Austria","Million euro","Mental health hospitals",":",""
"2012","Austria","Million euro","Dental practice","1,573.78",""
"2012","Austria","Million euro","Pharmacies","3,457.15",""
"2012","Poland","Million euro","All providers of health care",":",""
"2012","Poland","Million euro","General hospitals",":",""
"2012","Poland","Million euro","Mental health hospitals",":",""
"2012","Poland","Million euro","Dental practice",":",""
"2012","Poland","Million euro","Pharmacies",":",""
"2012","Portugal","Million euro","All providers of health care","16,247.14",""
"2012","Portugal","Million euro","General hospitals","6,423.37",""
"2012","Portugal","Million euro","Mental health hospitals","127.10",""
"2012","Portugal","Million euro","Dental practice",":",""
"2012","Portugal","Million euro","Pharmacies","2,775.00",""
"2012","Romania","Million euro","All providers of health care","6,281.85",""
"2012","Romania","Million euro","General hospitals","2,000.30",""
"2012","Romania","Million euro","Mental health hospitals","67.80",""
"2012","Romania","Million euro","Dental practice","158.16",""
"2012","Romania","Million euro","Pharmacies","2,249.77",""
"2012","Slovenia","Million euro","All providers of health care",":",""
"2012","Slovenia","Million euro","General hospitals",":",""
"2012","Slovenia","Million euro","Mental health hospitals",":",""
"2012","Slovenia","Million euro","Dental practice",":",""
"2012","Slovenia","Million euro","Pharmacies",":",""
"2012","Slovakia","Million euro","All providers of health care","5,550.07",""
"2012","Slovakia","Million euro","General hospitals","1,430.89",""
"2012","Slovakia","Million euro","Mental health hospitals","31.53",""
"2012","Slovakia","Million euro","Dental practice","251.97",""
"2012","Slovakia","Million euro","Pharmacies","1,473.19",""
"2012","Finland","Million euro","All providers of health care","19,271.00",""
"2012","Finland","Million euro","General hospitals","6,534.72",""
"2012","Finland","Million euro","Mental health hospitals","6.55",""
"2012","Finland","Million euro","Dental practice","525.29",""
"2012","Finland","Million euro","Pharmacies","2,342.95",""
"2012","Sweden","Million euro","All providers of health care","46,165.14",""
"2012","Sweden","Million euro","General hospitals","17,677.19",""
"2012","Sweden","Million euro","Mental health hospitals",":",""
"2012","Sweden","Million euro","Dental practice","2,716.42",""
"2012","Sweden","Million euro","Pharmacies","4,168.04",""
"2012","Iceland","Million euro","All providers of health care","939.19",""
"2012","Iceland","Million euro","General hospitals","351.73",""
"2012","Iceland","Million euro","Mental health hospitals",":",""
"2012","Iceland","Million euro","Dental practice","60.12",""
"2012","Iceland","Million euro","Pharmacies","112.66",""
"2012","Liechtenstein","Million euro","All providers of health care",":",""
"2012","Liechtenstein","Million euro","General hospitals",":",""
"2012","Liechtenstein","Million euro","Mental health hospitals",":",""
"2012","Liechtenstein","Million euro","Dental practice",":",""
"2012","Liechtenstein","Million euro","Pharmacies",":",""
"2012","Norway","Million euro","All providers of health care","34,806.36",""
"2012","Norway","Million euro","General hospitals","10,520.53",""
"2012","Norway","Million euro","Mental health hospitals","3,137.22",""
"2012","Norway","Million euro","Dental practice","1,754.49",""
"2012","Norway","Million euro","Pharmacies","2,363.31",""
"2012","Switzerland","Million euro","All providers of health care","55,183.30",""
"2012","Switzerland","Million euro","General hospitals","16,374.63",""
"2012","Switzerland","Million euro","Mental health hospitals","1,595.12",""
"2012","Switzerland","Million euro","Dental practice","3,300.55",""
"2012","Switzerland","Million euro","Pharmacies","3,949.92",""
"2012","United Kingdom","Million euro","All providers of health care",":",""
"2012","United Kingdom","Million euro","General hospitals",":",""
"2012","United Kingdom","Million euro","Mental health hospitals",":",""
"2012","United Kingdom","Million euro","Dental practice",":",""
"2012","United Kingdom","Million euro","Pharmacies",":",""
"2012","Bosnia and Herzegovina","Million euro","All providers of health care",":",""
"2012","Bosnia and Herzegovina","Million euro","General hospitals",":",""
"2012","Bosnia and Herzegovina","Million euro","Mental health hospitals",":",""
"2012","Bosnia and Herzegovina","Million euro","Dental practice",":",""
"2012","Bosnia and Herzegovina","Million euro","Pharmacies",":",""
"2013","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2013","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2013","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2013","European Union - 28 countries (2013-2020)","Million euro","Dental practice",":",""
"2013","European Union - 28 countries (2013-2020)","Million euro","Pharmacies",":",""
"2013","Belgium","Million euro","All providers of health care","41,493.39",""
"2013","Belgium","Million euro","General hospitals","13,426.44",""
"2013","Belgium","Million euro","Mental health hospitals","1,763.87",""
"2013","Belgium","Million euro","Dental practice","1,513.62",""
"2013","Belgium","Million euro","Pharmacies","4,870.48",""
"2013","Bulgaria","Million euro","All providers of health care","3,003.51",""
"2013","Bulgaria","Million euro","General hospitals","887.08","b"
"2013","Bulgaria","Million euro","Mental health hospitals","21.01",""
"2013","Bulgaria","Million euro","Dental practice","115.51","b"
"2013","Bulgaria","Million euro","Pharmacies","1,037.63",""
"2013","Czechia","Million euro","All providers of health care","12,314.41",""
"2013","Czechia","Million euro","General hospitals","4,504.33",""
"2013","Czechia","Million euro","Mental health hospitals","154.65",""
"2013","Czechia","Million euro","Dental practice","608.84",""
"2013","Czechia","Million euro","Pharmacies","1,861.45",""
"2013","Denmark","Million euro","All providers of health care","26,313.05",""
"2013","Denmark","Million euro","General hospitals","10,662.26",""
"2013","Denmark","Million euro","Mental health hospitals","1,072.54",""
"2013","Denmark","Million euro","Dental practice","1,469.38",""
"2013","Denmark","Million euro","Pharmacies","1,510.21",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care","309,191.00",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","General hospitals","81,577.00",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",":",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","Dental practice","24,374.00",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","Pharmacies","41,628.00",""
"2013","Estonia","Million euro","All providers of health care","1,137.77",""
"2013","Estonia","Million euro","General hospitals","509.30",""
"2013","Estonia","Million euro","Mental health hospitals","2.97",""
"2013","Estonia","Million euro","Dental practice","84.33",""
"2013","Estonia","Million euro","Pharmacies","220.42",""
"2013","Ireland","Million euro","All providers of health care","18,495.02",""
"2013","Ireland","Million euro","General hospitals","5,566.76",""
"2013","Ireland","Million euro","Mental health hospitals","275.00",""
"2013","Ireland","Million euro","Dental practice","491.41",""
"2013","Ireland","Million euro","Pharmacies","2,459.23",""
"2013","Greece","Million euro","All providers of health care","15,028.19",""
"2013","Greece","Million euro","General hospitals","5,857.84",""
"2013","Greece","Million euro","Mental health hospitals","286.35",""
"2013","Greece","Million euro","Dental practice","846.63",""
"2013","Greece","Million euro","Pharmacies","4,177.60",""
"2013","Spain","Million euro","All providers of health care","92,512.08",""
"2013","Spain","Million euro","General hospitals","35,758.66",""
"2013","Spain","Million euro","Mental health hospitals","728.24",""
"2013","Spain","Million euro","Dental practice","4,120.63",""
"2013","Spain","Million euro","Pharmacies","15,059.83",""
"2013","France","Million euro","All providers of health care","241,705.71",""
"2013","France","Million euro","General hospitals","81,110.91",""
"2013","France","Million euro","Mental health hospitals","10,087.46",""
"2013","France","Million euro","Dental practice","9,842.29",""
"2013","France","Million euro","Pharmacies","37,916.57",""
"2013","Croatia","Million euro","All providers of health care","2,855.23",""
"2013","Croatia","Million euro","General hospitals","1,090.49",""
"2013","Croatia","Million euro","Mental health hospitals","43.57",""
"2013","Croatia","Million euro","Dental practice","143.72",""
"2013","Croatia","Million euro","Pharmacies","687.70",""
"2013","Italy","Million euro","All providers of health care","141,526.00",""
"2013","Italy","Million euro","General hospitals",":",""
"2013","Italy","Million euro","Mental health hospitals",":",""
"2013","Italy","Million euro","Dental practice",":",""
"2013","Italy","Million euro","Pharmacies",":",""
"2013","Cyprus","Million euro","All providers of health care","1,249.79",""
"2013","Cyprus","Million euro","General hospitals","471.01",""
"2013","Cyprus","Million euro","Mental health hospitals","13.42",""
"2013","Cyprus","Million euro","Dental practice","68.81",""
"2013","Cyprus","Million euro","Pharmacies","158.91",""
"2013","Latvia","Million euro","All providers of health care","1,232.72",""
"2013","Latvia","Million euro","General hospitals","339.47",""
"2013","Latvia","Million euro","Mental health hospitals","41.37",""
"2013","Latvia","Million euro","Dental practice","42.75",""
"2013","Latvia","Million euro","Pharmacies","335.34",""
"2013","Lithuania","Million euro","All providers of health care","2,146.52",""
"2013","Lithuania","Million euro","General hospitals","617.73",""
"2013","Lithuania","Million euro","Mental health hospitals","38.24",""
"2013","Lithuania","Million euro","Dental practice","102.73",""
"2013","Lithuania","Million euro","Pharmacies","603.65",""
"2013","Luxembourg","Million euro","All providers of health care","2,570.38",""
"2013","Luxembourg","Million euro","General hospitals","692.88",""
"2013","Luxembourg","Million euro","Mental health hospitals","40.98",""
"2013","Luxembourg","Million euro","Dental practice","150.05",""
"2013","Luxembourg","Million euro","Pharmacies","284.92",""
"2013","Hungary","Million euro","All providers of health care","7,396.44",""
"2013","Hungary","Million euro","General hospitals","2,485.88",""
"2013","Hungary","Million euro","Mental health hospitals","6.49",""
"2013","Hungary","Million euro","Dental practice","268.88",""
"2013","Hungary","Million euro","Pharmacies","2,240.61",""
"2013","Malta","Million euro","All providers of health care",":",""
"2013","Malta","Million euro","General hospitals",":",""
"2013","Malta","Million euro","Mental health hospitals",":",""
"2013","Malta","Million euro","Dental practice",":",""
"2013","Malta","Million euro","Pharmacies",":",""
"2013","Netherlands","Million euro","All providers of health care","69,900.51",""
"2013","Netherlands","Million euro","General hospitals","17,732.71",""
"2013","Netherlands","Million euro","Mental health hospitals","3,920.43",""
"2013","Netherlands","Million euro","Dental practice","2,964.20",""
"2013","Netherlands","Million euro","Pharmacies","5,022.60",""
"2013","Austria","Million euro","All providers of health care","33,316.59",""
"2013","Austria","Million euro","General hospitals","11,329.61",""
"2013","Austria","Million euro","Mental health hospitals",":",""
"2013","Austria","Million euro","Dental practice","1,628.44",""
"2013","Austria","Million euro","Pharmacies","3,501.01",""
"2013","Poland","Million euro","All providers of health care","25,166.20",""
"2013","Poland","Million euro","General hospitals","7,999.64",""
"2013","Poland","Million euro","Mental health hospitals","408.48",""
"2013","Poland","Million euro","Dental practice","1,032.33",""
"2013","Poland","Million euro","Pharmacies","5,456.45",""
"2013","Portugal","Million euro","All providers of health care","16,034.57",""
"2013","Portugal","Million euro","General hospitals","6,467.07",""
"2013","Portugal","Million euro","Mental health hospitals","125.51",""
"2013","Portugal","Million euro","Dental practice",":",""
"2013","Portugal","Million euro","Pharmacies","2,571.52",""
"2013","Romania","Million euro","All providers of health care","7,467.03",""
"2013","Romania","Million euro","General hospitals","2,222.35",""
"2013","Romania","Million euro","Mental health hospitals","88.99",""
"2013","Romania","Million euro","Dental practice","151.66",""
"2013","Romania","Million euro","Pharmacies","2,870.96",""
"2013","Slovenia","Million euro","All providers of health care",":",""
"2013","Slovenia","Million euro","General hospitals",":",""
"2013","Slovenia","Million euro","Mental health hospitals",":",""
"2013","Slovenia","Million euro","Dental practice",":",""
"2013","Slovenia","Million euro","Pharmacies",":",""
"2013","Slovakia","Million euro","All providers of health care","5,583.37",""
"2013","Slovakia","Million euro","General hospitals","1,498.19",""
"2013","Slovakia","Million euro","Mental health hospitals","36.48",""
"2013","Slovakia","Million euro","Dental practice","258.51",""
"2013","Slovakia","Million euro","Pharmacies","1,481.57",""
"2013","Finland","Million euro","All providers of health care","20,034.38",""
"2013","Finland","Million euro","General hospitals","6,821.59",""
"2013","Finland","Million euro","Mental health hospitals","6.83",""
"2013","Finland","Million euro","Dental practice","561.22",""
"2013","Finland","Million euro","Pharmacies","2,407.00",""
"2013","Sweden","Million euro","All providers of health care","48,183.44",""
"2013","Sweden","Million euro","General hospitals","18,539.10",""
"2013","Sweden","Million euro","Mental health hospitals",":",""
"2013","Sweden","Million euro","Dental practice","2,813.27",""
"2013","Sweden","Million euro","Pharmacies","4,188.87",""
"2013","Iceland","Million euro","All providers of health care","991.93",""
"2013","Iceland","Million euro","General hospitals","376.49",""
"2013","Iceland","Million euro","Mental health hospitals",":",""
"2013","Iceland","Million euro","Dental practice","65.52",""
"2013","Iceland","Million euro","Pharmacies","109.25",""
"2013","Liechtenstein","Million euro","All providers of health care","276.68",""
"2013","Liechtenstein","Million euro","General hospitals","27.90",""
"2013","Liechtenstein","Million euro","Mental health hospitals","0.00",""
"2013","Liechtenstein","Million euro","Dental practice","15.25",""
"2013","Liechtenstein","Million euro","Pharmacies","9.29",""
"2013","Norway","Million euro","All providers of health care","35,129.57",""
"2013","Norway","Million euro","General hospitals","10,612.42",""
